epoch,train_loss,train_acc,val_loss,val_acc
2.500000000000000000e+01,1.522629509653363966e+00,4.053571428571428603e-01,1.441112160682678223e+00,3.833333333333333592e-01
2.600000000000000000e+01,1.522076937130519392e+00,3.982142857142856873e-01,1.435391783714294434e+00,3.833333333333333592e-01
2.700000000000000000e+01,1.516659188270568892e+00,3.892857142857142905e-01,1.430129528045654297e+00,3.916666666666666630e-01
2.800000000000000000e+01,1.502796949659074954e+00,4.142857142857143127e-01,1.425157904624938965e+00,4.000000000000000222e-01
2.900000000000000000e+01,1.496187036378042956e+00,4.124999999999999778e-01,1.420609354972839355e+00,4.249999999999999889e-01
3.000000000000000000e+01,1.486732309205191394e+00,4.267857142857142683e-01,1.416595697402954102e+00,4.249999999999999889e-01
3.100000000000000000e+01,1.489701097352164050e+00,4.535714285714285698e-01,1.412862062454223633e+00,4.416666666666666519e-01
3.200000000000000000e+01,1.482051266942705503e+00,4.446428571428571175e-01,1.409169673919677734e+00,4.333333333333333481e-01
3.300000000000000000e+01,1.471179890632629439e+00,4.392857142857142794e-01,1.405557274818420410e+00,4.416666666666666519e-01
3.400000000000000000e+01,1.466879943438938794e+00,4.357142857142857206e-01,1.402234196662902832e+00,4.416666666666666519e-01
3.500000000000000000e+01,1.462191316059657575e+00,4.660714285714285809e-01,1.399170637130737305e+00,4.416666666666666519e-01
3.600000000000000000e+01,1.459742096492222307e+00,4.482142857142857317e-01,1.396306633949279785e+00,4.500000000000000111e-01
3.700000000000000000e+01,1.454824648584638336e+00,4.464285714285714524e-01,1.393708109855651855e+00,4.583333333333333148e-01
3.800000000000000000e+01,1.455098520006452345e+00,4.553571428571428492e-01,1.391447424888610840e+00,4.583333333333333148e-01
3.900000000000000000e+01,1.443511806215558746e+00,4.357142857142857206e-01,1.389195084571838379e+00,4.500000000000000111e-01
4.000000000000000000e+01,1.446697528021676282e+00,4.625000000000000222e-01,1.387063860893249512e+00,4.500000000000000111e-01
4.100000000000000000e+01,1.445381402969360352e+00,4.571428571428571286e-01,1.385214328765869141e+00,4.500000000000000111e-01
4.200000000000000000e+01,1.438988866124834232e+00,4.696428571428571397e-01,1.383513569831848145e+00,4.416666666666666519e-01
4.300000000000000000e+01,1.440677343096051999e+00,4.517857142857142905e-01,1.382007241249084473e+00,4.416666666666666519e-01
4.400000000000000000e+01,1.435935166903904436e+00,4.553571428571428492e-01,1.380679368972778320e+00,4.500000000000000111e-01
4.500000000000000000e+01,1.436596768242972333e+00,4.642857142857143016e-01,1.379404425621032715e+00,4.500000000000000111e-01
4.600000000000000000e+01,1.444974160194397061e+00,4.517857142857142905e-01,1.378265142440795898e+00,4.500000000000000111e-01
4.700000000000000000e+01,1.427699916703360383e+00,4.767857142857143127e-01,1.377300977706909180e+00,4.500000000000000111e-01
4.800000000000000000e+01,1.431234346117292056e+00,4.535714285714285698e-01,1.376530170440673828e+00,4.583333333333333148e-01
4.900000000000000000e+01,1.436899927684238909e+00,4.607142857142856873e-01,1.375904917716979980e+00,4.583333333333333148e-01
5.000000000000000000e+01,1.432209658622741744e+00,4.517857142857142905e-01,1.375395298004150391e+00,4.666666666666666741e-01
5.100000000000000000e+01,1.426689124107360929e+00,4.500000000000000111e-01,1.374936580657958984e+00,4.666666666666666741e-01
5.200000000000000000e+01,1.428473067283630327e+00,4.553571428571428492e-01,1.374564051628112793e+00,4.666666666666666741e-01
5.300000000000000000e+01,1.426308376448494952e+00,4.660714285714285809e-01,1.374284386634826660e+00,4.666666666666666741e-01
5.400000000000000000e+01,1.425907904761178235e+00,4.678571428571428603e-01,1.374076247215270996e+00,4.666666666666666741e-01
5.500000000000000000e+01,1.426086793627057814e+00,4.732142857142856984e-01,1.373927474021911621e+00,4.666666666666666741e-01
5.600000000000000000e+01,1.428101549829755568e+00,4.803571428571428714e-01,1.373833894729614258e+00,4.666666666666666741e-01
5.700000000000000000e+01,1.418896715981619705e+00,4.821428571428571508e-01,1.373784184455871582e+00,4.666666666666666741e-01
5.800000000000000000e+01,1.425927833148411317e+00,4.892857142857142683e-01,1.373762011528015137e+00,4.666666666666666741e-01
5.900000000000000000e+01,1.414199754170009093e+00,4.767857142857143127e-01,1.373756408691406250e+00,4.666666666666666741e-01
