epoch,train_loss,train_acc,val_loss,val_acc
0.000000000000000000e+00,1.864875725337437284e+00,2.446428571428571341e-01,1.837411403656005859e+00,3.083333333333333481e-01
1.000000000000000000e+00,1.851910890851701907e+00,2.696428571428571286e-01,1.820879340171813965e+00,3.333333333333333148e-01
2.000000000000000000e+00,1.837413600512913359e+00,3.285714285714285698e-01,1.804655790328979492e+00,3.166666666666666519e-01
3.000000000000000000e+00,1.823644457544599362e+00,3.464285714285714191e-01,1.788362860679626465e+00,3.166666666666666519e-01
4.000000000000000000e+00,1.811180564335414411e+00,3.428571428571428603e-01,1.771761536598205566e+00,3.333333333333333148e-01
5.000000000000000000e+00,1.797795578411647277e+00,3.357142857142856873e-01,1.754219770431518555e+00,3.333333333333333148e-01
6.000000000000000000e+00,1.783453849383762835e+00,3.321428571428571286e-01,1.735639095306396484e+00,3.250000000000000111e-01
7.000000000000000000e+00,1.767062790053231414e+00,3.499999999999999778e-01,1.716223478317260742e+00,3.250000000000000111e-01
8.000000000000000000e+00,1.752192047664097307e+00,3.375000000000000222e-01,1.695757508277893066e+00,3.250000000000000111e-01
9.000000000000000000e+00,1.735930657386779874e+00,3.392857142857143016e-01,1.674442172050476074e+00,3.250000000000000111e-01
1.000000000000000000e+01,1.717981382778712707e+00,3.410714285714285809e-01,1.652745604515075684e+00,3.333333333333333148e-01
1.100000000000000000e+01,1.701151371002197266e+00,3.571428571428571508e-01,1.631002902984619141e+00,3.333333333333333148e-01
1.200000000000000000e+01,1.682348390987941089e+00,3.607142857142857095e-01,1.609460473060607910e+00,3.416666666666666741e-01
1.300000000000000000e+01,1.661128132683890257e+00,3.428571428571428603e-01,1.588594555854797363e+00,3.416666666666666741e-01
1.400000000000000000e+01,1.649715317998613706e+00,3.589285714285714302e-01,1.568614363670349121e+00,3.499999999999999778e-01
1.500000000000000000e+01,1.632711192539759937e+00,3.785714285714285587e-01,1.549937009811401367e+00,3.499999999999999778e-01
1.600000000000000000e+01,1.615445610455104264e+00,3.660714285714285476e-01,1.532811760902404785e+00,3.499999999999999778e-01
1.700000000000000000e+01,1.605476587159293089e+00,3.642857142857142683e-01,1.517259597778320312e+00,3.583333333333333370e-01
1.800000000000000000e+01,1.587544192586626268e+00,3.714285714285714413e-01,1.503483057022094727e+00,3.583333333333333370e-01
1.900000000000000000e+01,1.579788190977913898e+00,3.678571428571428825e-01,1.491229534149169922e+00,3.750000000000000000e-01
2.000000000000000000e+01,1.566192878995622983e+00,3.696428571428571619e-01,1.480370044708251953e+00,3.750000000000000000e-01
2.100000000000000000e+01,1.562383689199175141e+00,3.660714285714285476e-01,1.470875620841979980e+00,3.916666666666666630e-01
2.200000000000000000e+01,1.548827052116394043e+00,3.750000000000000000e-01,1.462252020835876465e+00,3.916666666666666630e-01
2.300000000000000000e+01,1.543408843449183943e+00,3.803571428571428381e-01,1.454477787017822266e+00,3.833333333333333592e-01
2.400000000000000000e+01,1.532727231298174120e+00,3.982142857142856873e-01,1.447498440742492676e+00,4.000000000000000222e-01
